DATE,GDPPOT
1949-01-01,2257.839359794424
1949-04-01,2287.466881430916
1949-07-01,2318.403613528321
1949-10-01,2347.972850535699
1950-01-01,2379.3345111482668
1950-04-01,2410.948097285389
1950-07-01,2442.808343579446
1950-10-01,2476.076791566988
1951-01-01,2509.821712166883
1951-04-01,2543.6264633614887
1951-07-01,2578.839534102926
1951-10-01,2615.3722107469534
1952-01-01,2652.115545332576
1952-04-01,2690.185054029879
1952-07-01,2725.499196310802
1952-10-01,2758.7111376971
1953-01-01,2788.709452619056
1953-04-01,2816.6972440598934
1953-07-01,2841.8748161973012
1953-10-01,2864.379442163256
1954-01-01,2885.533422811448
1954-04-01,2904.6425372028484
1954-07-01,2922.6824834470685
1954-10-01,2941.203175521541
1955-01-01,2959.1666428067592
1955-04-01,2978.4352702958895
1955-07-01,2997.302681427677
1955-10-01,3016.9558795904563
1956-01-01,3036.899269785738
1956-04-01,3056.6441616221227
1956-07-01,3076.8299049109255
1956-10-01,3098.245596160036
1957-01-01,3121.6831588680693
1957-04-01,3147.2186459895347
1957-07-01,3174.2015621436285
1957-10-01,3202.321588868789
1958-01-01,3230.2730113068687
1958-04-01,3258.679704775973
1958-07-01,3287.2724470515886
1958-10-01,3317.5742725789587
1959-01-01,3348.9606692719844
1959-04-01,3382.434367266335
1959-07-01,3418.3316732319568
1959-10-01,3454.7557544589863
1960-01-01,3491.7727114005343
1960-04-01,3527.8023893882337
1960-07-01,3563.2639631988563
1960-10-01,3597.4533679764
1961-01-01,3631.0431646577026
1961-04-01,3662.7152495535083
1961-07-01,3695.5469747797747
1961-10-01,3729.3449692513855
1962-01-01,3765.770712481331
1962-04-01,3805.2919237949322
1962-07-01,3847.2389179060137
1962-10-01,3890.368146648809
1963-01-01,3933.5531781123614
1963-04-01,3976.341951371813
1963-07-01,4018.9695790683204
1963-10-01,4062.0823370950457
1964-01-01,4105.457632012702
1964-04-01,4150.3582061770785
1964-07-01,4196.209927901946
1964-10-01,4242.379514736879
1965-01-01,4289.681404462755
1965-04-01,4335.807099925111
1965-07-01,4383.237013439604
1965-10-01,4430.713844925897
1966-01-01,4478.597661915642
1966-04-01,4526.649349952661
1966-07-01,4575.482000699961
1966-10-01,4624.512386456403
1967-01-01,4675.29888309921
1967-04-01,4727.75862450703
1967-07-01,4781.507243232257
1967-10-01,4836.682850321323
1968-01-01,4892.030212069873
1968-04-01,4946.641639010278
1968-07-01,5001.791458305276
1968-10-01,5057.271951207705
1969-01-01,5110.942917622247
1969-04-01,5162.606867758749
1969-07-01,5211.791948553769
1969-10-01,5258.942009417397
1970-01-01,5304.1107243542265
1970-04-01,5347.155129940134
1970-07-01,5389.2247360430465
1970-10-01,5431.176029865435
1971-01-01,5474.811540249787
1971-04-01,5521.257868125142
1971-07-01,5569.205709211985
1971-10-01,5617.286099269593
1972-01-01,5664.233158833837
1972-04-01,5708.982202130733
1972-07-01,5752.470037521662
1972-10-01,5795.896119515438
1973-01-01,5840.771601893161
1973-04-01,5889.111294706497
1973-07-01,5939.082058968226
1973-10-01,5990.693328417105
1974-01-01,6043.072169094464
1974-04-01,6095.649082990759
1974-07-01,6147.35386618002
1974-10-01,6198.470387187839
1975-01-01,6248.566849716383
1975-04-01,6298.077566069345
1975-07-01,6347.3151619664895
1975-10-01,6396.554207851297
1976-01-01,6445.217888324808
1976-04-01,6494.053845628859
1976-07-01,6543.990506911597
1976-10-01,6594.551109071075
1977-01-01,6647.100825373904
1977-04-01,6701.320026169262
1977-07-01,6756.695733262371
1977-10-01,6813.746885114477
1978-01-01,6872.163929119587
1978-04-01,6931.508722380376
1978-07-01,6992.3234153437415
1978-10-01,7054.415466130378
1979-01-01,7118.636609003632
1979-04-01,7181.211017245633
1979-07-01,7240.7635775445
1979-10-01,7296.322017634291
1980-01-01,7346.669698297656
1980-04-01,7390.961860663688
1980-07-01,7429.331738137411
1980-10-01,7469.446726339683
1981-01-01,7511.532887898879
1981-04-01,7559.95102818371
1981-07-01,7611.289925963827
1981-10-01,7665.531952746035
1982-01-01,7721.911553479326
1982-04-01,7779.81170292515
1982-07-01,7838.940056909763
1982-10-01,7899.409270766792
1983-01-01,7959.807699132291
1983-04-01,8021.823136151074
1983-07-01,8085.768982326873
1983-10-01,8152.475431532575
1984-01-01,8221.97345330829
1984-04-01,8294.282575869362
1984-07-01,8368.495437863658
1984-10-01,8444.169196878192
1985-01-01,8520.484212959082
1985-04-01,8597.26572031373
1985-07-01,8674.083598796156
1985-10-01,8750.497209070434
1986-01-01,8826.27796017688
1986-04-01,8901.540583050722
1986-07-01,8976.624990775805
1986-10-01,9051.364687482284
1987-01-01,9125.656298765436
1987-04-01,9199.488476528915
1987-07-01,9272.948283255728
1987-10-01,9346.74440243818
1988-01-01,9420.200034917
1988-04-01,9494.148778482428
1988-07-01,9568.248421375085
1988-10-01,9642.77872952726
1989-01-01,9717.30169675672
1989-04-01,9791.79197308159
1989-07-01,9865.94958276896
1989-10-01,9939.555947422325
1990-01-01,10011.982562753668
1990-04-01,10082.815812446097
1990-07-01,10151.604817255562
1990-10-01,10218.310962814148
1991-01-01,10283.364602357227
1991-04-01,10346.860954486
1991-07-01,10409.257707011711
1991-10-01,10471.485543658124
1992-01-01,10533.558783335595
1992-04-01,10596.354246593863
1992-07-01,10660.470438593562
1992-10-01,10725.476392420938
1993-01-01,10791.43501669268
1993-04-01,10859.190304369771
1993-07-01,10927.95048499553
1993-10-01,10997.691937988011
1994-01-01,11068.287020052328
1994-04-01,11139.621452708636
1994-07-01,11212.441158918034
