DATE,DPCCRV1Q225SBEA,UNRATE,NROU,Proposed_Interest_Rate
1983-04-01,3.1,10.2,6.103606,1.5536060000000003
1983-07-01,6.2,9.4,6.094400405883789,6.994400405883788
1983-10-01,3.2,8.8,6.085254,3.085254
1984-01-01,4.1,8,6.076131,5.226131
1984-04-01,4.8,7.7,6.066982,6.566981999999999
1984-07-01,3.8,7.5,6.057761,5.2577609999999995
1984-10-01,2.9,7.4,6.048421382904053,3.998421382904053
1985-01-01,5.6,7.3,6.0389029999999995,8.1389029999999991
1985-04-01,3.5,7.3,6.029139518737793,4.979139518737793
1985-07-01,4.2,7.4,6.019057,5.9190570000000005
1985-10-01,2.9,7.1,6.008578,4.258578000000001
1986-01-01,4.4,6.7,5.997622,6.897622
1986-04-01,2.8,7.1,5.98611,4.08611
1986-07-01,2.8,7,5.973967552185058,4.173967552185057
1986-10-01,3.3,7,5.961125373840332,4.911125373840331
1987-01-01,2.6,6.6,5.947525501251221,4.2475255012512205
1987-04-01,3.9,6.3,5.9331254959106445,6.483125495910645
1987-07-01,3.6,6.1,5.917901515960693,6.217901515960693
1987-10-01,4.1,6,5.901855,7.051855
1988-01-01,3.9,5.7,5.885015,7.0350150000000005
1988-04-01,4.9,5.4,5.86744,8.817440000000001
1988-07-01,4.7,5.4,5.8492169999999994,8.499217
1988-10-01,4.5,5.4,5.8304524421691895,8.180452442169189
1989-01-01,4.4,5.4,5.811267375946045,8.011267375946044
1989-04-01,3.7,5.2,5.791787,7.141787000000001
1989-07-01,3,5.2,5.772135,6.072134999999999
1989-10-01,3.7,5.3,5.7524285316467285,7.002428531646729
1990-01-01,4.7,5.4,5.7327650000000006,8.382765000000001
1990-04-01,4.5,5.4,5.713230609893799,8.063230609893798
1990-07-01,4.1,5.5,5.693902492523193,7.343902492523193
1990-10-01,3.4,5.9,5.674851417541504,5.874851417541504
1991-01-01,3.6,6.4,5.6561455726623535,5.656145572662353
1991-04-01,3.1,6.7,5.6378379999999995,4.587837999999999
1991-07-01,3.6,6.8,5.619961,5.219961
1991-10-01,3.2,7,5.6025339999999995,4.402534
1992-01-01,3.1,7.3,5.58557653427124,3.93557653427124
1992-04-01,2.9,7.4,5.569083999999999,3.5190839999999994
1992-07-01,2.4,7.7,5.553058999999999,2.4530589999999997
1992-10-01,3,7.3,5.537511,3.7375110000000005
1993-01-01,2.8,7.3,5.522455,3.4224549999999994
1993-04-01,3.1,7.1,5.507904529571533,4.057904529571533
1993-07-01,2.3,6.9,5.4938645362854,3.0438645362853993
1993-10-01,2.1,6.8,5.48034143447876,2.8303414344787594
1994-01-01,1.8,6.6,5.467338562011719,2.567338562011719
1994-04-01,2.7,6.4,5.454845,4.104845
1994-07-01,2.3,6.1,5.442838,3.7928379999999997
1994-10-01,2,5.8,5.431291000000001,3.631291000000001
1995-01-01,2.1,5.6,5.420172,3.970172
1995-04-01,2.4,5.8,5.409451484680176,4.2094514846801765
1995-07-01,1.9,5.7,5.399091,3.5490909999999998
1995-10-01,2,5.5,5.38905,3.88905
1996-01-01,1.6,5.6,5.379276,3.1792760000000007
1996-04-01,1.9,5.6,5.369709491729736,3.6197094917297363
1996-07-01,1.8,5.5,5.360292434692383,3.5602924346923825
1996-10-01,2.3,5.2,5.350973606109619,4.600973606109618
1997-01-01,1.6,5.3,5.341696,3.4416960000000003
1997-04-01,2.1,5.1,5.332409381866455,4.382409381866455
1997-07-01,0.9,4.9,5.323080539703369,2.7730805397033684
1997-10-01,1.3,4.7,5.31369,3.56369
1998-01-01,1.2,4.6,5.304222,3.504222000000001
1998-04-01,1.2,4.3,5.294664,3.7946640000000005
1998-07-01,1.4,4.5,5.285001,3.885001
1998-10-01,1.3,4.5,5.275233,3.725233
1999-01-01,1,4.3,5.265363,3.465363
1999-04-01,1.4,4.3,5.255394458770752,4.055394458770752
1999-07-01,1.5,4.3,5.245333671569824,4.195333671569824
1999-10-01,1.9,4.1,5.235184669494629,4.985184669494629
2000-01-01,2.1,4,5.224948,5.374948
2000-04-01,1.4,3.8,5.214622,4.514622
2000-07-01,1.9,4,5.204211,5.054211
2000-10-01,2,3.9,5.193731,5.293730999999999
2001-01-01,2.6,4.2,5.183196544647217,5.883196544647216
2001-04-01,1.5,4.4,5.172613620758057,4.022613620758056
2001-07-01,1,4.6,5.161983,3.0619830000000006
2001-10-01,1.9,5.3,5.151313,3.701313
2002-01-01,1.2,5.7,5.140615463256836,2.240615463256836
2002-04-01,2.2,5.9,5.129905,3.5299050000000003
2002-07-01,2.1,5.8,5.119209,3.4692089999999993
2002-10-01,1.4,5.7,5.1085615158081055,2.508561515808105
2003-01-01,1.2,5.8,5.09799,2.0979900000000007
2003-04-01,1.5,6,5.087525,2.3375250000000003
2003-07-01,1.8,6.2,5.077202,2.5772019999999993
2003-10-01,1.8,6,5.067058563232422,2.7670585632324216
2004-01-01,2.2,5.7,5.057126,3.6571260000000008
2004-04-01,2.3,5.6,5.0474324226379395,3.897432422637939
2004-07-01,1.4,5.5,5.038008,2.6380079999999992
2004-10-01,2.2,5.5,5.028878688812256,3.8288786888122566
2005-01-01,2.9,5.3,5.020076,5.070076000000001
2005-04-01,2,5.2,5.011637,3.811637
2005-07-01,1.6,5,5.003654480000438,3.403654480000438
2005-10-01,2.7,5,4.9967167758934,5.046716775893401
2006-01-01,2.3,4.7,4.987016736794103,4.737016736794102
2006-04-01,3.2,4.7,4.976734475862477,6.0767344758624775
2006-07-01,2.2,4.7,4.966011157786974,4.566011157786974
2006-10-01,1.7,4.4,4.955040080493421,4.105040080493421
2007-01-01,2.8,4.6,4.944046980128732,5.544046980128732
2007-04-01,1.7,4.5,4.933268579217006,3.983268579217006
2007-07-01,2,4.7,4.922925139441717,4.222925139441717
2007-10-01,2.8,4.7,4.913194324705306,5.413194324705305
2008-01-01,2.1,5,4.904191718858677,4.054191718858677
2008-04-01,1.7,5,4.895960569602773,3.445960569602773
2008-07-01,2.1,5.8,4.888470759617824,3.2384707596178233
2008-10-01,-0.3,6.5,4.88162329538316,-1.06837670461684
2009-01-01,0,7.8,4.875261901289407,-1.924738098710593
2009-04-01,1.6,9,4.869192265374635,-0.7308077346253645
2009-07-01,1.4,9.5,4.863205979930874,-1.5367940200691264
2009-10-01,2.5,10,4.857106944397845,-0.3928930556021548
2010-01-01,1.4,9.8,4.850728282627726,-1.8492717173722752
2010-04-01,1.1,9.9,4.843936590710999,-2.4060634092890014
2010-07-01,0.6,9.4,4.836630897441851,-2.663369102558149
2010-10-01,1.3,9.4,4.828742862936905,-1.6212571370630955
2011-01-01,1.8,9.1,4.820244006599269,-0.5797559934007306
2011-04-01,2.4,9.1,4.811158123503825,0.31115812350382566
2011-07-01,1.8,9,4.801569813017011,-0.49843018698298946
2011-10-01,1.4,8.8,4.791622118171009,-0.9083778818289918
2012-01-01,2.5,8.3,4.781499529253637,1.231499529253636
2012-04-01,1.7,8.2,4.7713995210888855,0.12139952108888652
